32 2.72011 2.69924
48 3.31389 3.27797
64 5.22595 5.18207
96 7.6692 7.55741
128 9.22847 9.2089
192 13.6128 13.5813
256 20.277 20.2072
384 31.3307 31.0618
512 34.7167 34.6251
768 48.0249 47.447
1024 71.8117 71.2551
1536 117.037 116.493
2048 134.156 133.379
3072 210.032 204.586
4096 266.39 264.802
6144 338.762 336.923
8192 449.168 447.032
12288 558.706 545.287
16384 683.473 674.788
24576 791.699 749.043
32768 862.357 860.231
49152 1040.24 1037.33
65536 1085.4 1069.55
98304 1188.01 1166.79
131072 1236.56 1203.34
196608 1224.95 1212.4
262144 1308.23 1293.83
393216 1344.36 1339.33
524288 1357.25 1346.88
